location,log,bed_type,bedform_type,bedform_name,wavelength_raw,amplitude_raw,wavelength,amplitude,,,,,,,,,,,,,
PB,PBBL1,tfd1,a,mcr,10,1,200,20,,,,,,,,,,,,,
PB,PBBL1,tfd1,a,labw,14,0.3,280,6,,,,,,,,,,,,,
PB,PBBL1,tfd2,b,lbr,8,1.5,160,30,,,,,,,,,,,,,
PB,PBBL1,itd,d,sr,3,0.3,60,6,,,,,,,,,,,,,
PB,PBBL1,tfd3,a,labw,20,0.2,400,4,,,,,,,,,,,,,
PB,PBBL1,tfd3,a,labw,13,0.5,260,10,,,,,,,,,,,,,
PB,PBBL1,itd,d,sr,7,0.4,140,8,,,,,,,,,,,,,
PB,PBBL2,tfd3,a,labw,15,0.3,300,6,,,,,,,,,Row Labels,Count of bedform_name,Average of wavelength,StdDev of wavelength,Average of amplitude
PB,PBBL2,tfd1,a,mcr,12,0.6,240,12,,,,,,,,,PB,80,193.25,140.2502736,19.6
PB,PBBL2,tfd1,a,labw,16,0.4,320,8,,,,,,,,,bed wave,3,653.3333333,130.1435105,86.66666667
PB,PBBL2,tfd2,b,lbr,11,0.7,220,14,,,,,,,,,br,15,125.9333333,79.91823202,22.66666667
PB,PBBL2,tfd1,a,mcr,14,0.8,280,16,,,,,,,,,hlcs,4,169.25,129.3660826,25.75
PB,PBBL2,tfd3,a,labw,19,0.6,380,12,,,,,,,,,labw,16,318.5,67.91956027,7.625
PB,PBBL2,tfd3,a,labw,25,0.5,500,10,,,,,,,,,mcr,19,153.4210526,95.53319132,23.94736842
PB,PBMS1,hdt1,s,scr,5,0.2,100,4,,,,,,,,,scr,21,130.952381,49.6905184,13.23809524
PB,PBMS1,ldt1,s,scr,3,0.3,60,6,,,,,,,,,sl,2,86.5,82.7314934,5
PB,PBMS1,ldt1,s,scr,5,0.6,100,12,,,,,,,,,Grand Total,80,193.25,140.2502736,19.6
PB,PBMS1,ldt2,s,br,9,0.5,180,10,,,,,,,,,,,,,
PB,PBMS2,ldt2,s,br,5,0.5,100,10,,,,,,,,,,,,,
PB,PBMS2,tfd1,a,mcr,14,1.8,280,36,,,,,,,,,,,,,
PB,PBMS2,ldt2,s,br,8,1.5,160,30,,,,,,,,,,,,,
PB,PBMS2,itd,d,sr,4,1.5,80,30,,,,,,,,,,,,,
PB,PBMS3,tfd2,b,lbr,8,2,160,40,,,,,,,,,,,,,
PB,PBMS3,ldt1,s,scr,5,1,100,20,,,,,,,,,,,,,
PB,PBMS3,hdt2,s,hcs,30,5,600,100,,,,,,,,,,,,,
PB,PBMS3,hdt2,s,hcs,36,10,720,200,,,,,,,,,,,,,
PB,PBMS3,hdt2,s,hcs,28,12,560,240,,,,,,,,,,,,,
PB,PBMS3,hdt2,s,hcs,40,5,800,100,,,,,,,,,,,,,
PB,PBMS3,ldt1,s,scr,4.5,0.5,90,10,,,,,,,,,,,,,
PB,PBO2b,ldt1,s,scr,5.5,0.4,110,8,,,,,,,,,,,,,
PB,PBO2b,tfd1,a,mcr,9,1,180,20,,,,,,,,,,,,,
PB,PBO2b,tfd2,b,lbr,10,0.8,200,16,,,,,,,,,,,,,
PB,PBO2b,ldt1,s,scr,4,0.2,80,4,,,,,,,,,,,,,
PB,PBO2c,tfd2,b,hlcs,28,0.6,560,12,,,,,,,,,,,,,
PB,PBO2c,tfd1,a,mcr,12,0.7,240,14,,,,,,,,,,,,,
PB,PBO4,ldt2,s,br,5,1,100,20,,,,,,,,,,,,,
PB,PBO4,ldt2,s,br,4,0.6,80,12,,,,,,,,,,,,,
PB,PBO5,tfd2,b,hlcs,11,1.7,220,34,,,,,,,,,,,,,
PB,PBO5,tfd2,b,lbr,7,1.2,140,24,,,,,,,,,,,,,
PB,PBO5,tfd2,b,hlcs,12,1.1,240,22,,,,,,,,,,,,,
PB,PBO5,tfd1,a,mcr,8,0.8,160,16,,,,,,,,,,,,,
PB,PBO5,tfd1,a,mcr,9,0.7,180,14,,,,,,,,,,,,,
PB,PBO5,tfd1,a,mcr,12,1.1,240,22,,,,,,,,,,,,,
PB,PBO6,tfd2,b,lbr,8,1.3,160,26,,,,,,,,,,,,,
PB,PBO6a,tfd2,b,lbr,7,1.1,140,22,,,,,,,,,,,,,
PB,PBO6a,tfd1,a,mcr,18,2,360,40,,,,,,,,,,,,,
PB,PBO6a,tfd1,a,mcr,14,3,280,60,,,,,,,,,,,,,
PB,PBON1,ldt1,s,scr,2,0.2,40,4,,,,,,,,,,,,,
PB,PBON1,tfd2,b,hlcs,15,2,300,40,,,,,,,,,,,,,
PB,PBON1,ldt1,s,scr,5,0.3,100,6,,,,,,,,,,,,,
PB,PBON1,ldt2,s,br,6,0.6,120,12,,,,,,,,,,,,,
PB,PBON1,tfd2,b,lbr,9,1.2,180,24,,,,,,,,,,,,,
PB,PBON1,tfd2,b,lbr,13,0.7,260,14,,,,,,,,,,,,,
PB,PBON1,tfd2,b,lbr,8,0.4,160,8,,,,,,,,,,,,,
PB,PBON1,tfd2,b,lbr,14,1,280,20,,,,,,,,,,,,,
PB,PBON1,ldt2,s,br,6,0.5,120,10,,,,,,,,,,,,,
PB,PBON1,ldt1,s,scr,8,0.3,160,6,,,,,,,,,,,,,
PB,PBON2 ,tfd3,a,labw,15,0.4,300,8,,,,,,,,,,,,,
PB,PBON2 ,tfd2,b,hlcs,8,0.5,160,10,,,,,,,,,,,,,
PB,PBON2 ,tfd3,a,labw,20,0.3,400,6,,,,,,,,,,,,,
PB,PBON2 ,tfd3,a,labw,18,0.4,360,8,,,,,,,,,,,,,
PB,PBON2 ,tfd1,a,mcr,13,2,260,40,,,,,,,,,,,,,
PB,PBON3,tfd1,a,mcr,12,2,240,40,,,,,,,,,,,,,
PB,PBON3,tfd3,a,labw,16,0.2,320,4,,,,,,,,,,,,,
PB,PBON3,tfd1,a,mcr,15,3,300,60,,,,,,,,,,,,,
PB,PBON3,tfd1,a,labw,10,0.2,200,4,,,,,,,,,,,,,
PB,PBON3,ldt1,s,br,5,0.2,100,4,,,,,,,,,,,,,
PB,PBON3,tfd1,a,mcr,15,0.9,300,18,,,,,,,,,,,,,
PB,PBON3,tfd1,a,labw,22,0.4,440,8,,,,,,,,,,,,,
PB,PBON3,tfd3,a,labw,10,0.1,200,2,,,,,,,,,,,,,
PB,PBON3,tfd1,a,mcr,9,0.5,180,10,,,,,,,,,,,,,
PB,PBON3,tfd2,b,lbr,7,0.8,140,16,,,,,,,,,,,,,
PB,PBON3,tfd3,a,labw,14,0.2,280,4,,,,,,,,,,,,,
PB,PBON3,tfd2,b,hlcs,18,2,360,40,,,,,,,,,,,,,
PB,PBON3,tfd3,a,labw,19.5,0.2,390,4,,,,,,,,,,,,,
PB,PBON3,tfd2,b,lbr,8,0.4,160,8,,,,,,,,,,,,,
PB,PBON4,ldt1,s,scr,3,1,60,20,,,,,,,,,,,,,
PB,PBON4,tfd2,b,lbr,19,1.5,380,30,,,,,,,,,,,,,
PB,PBON4,ldt1,s,scr,9,0.5,180,10,,,,,,,,,,,,,
PB,PBON4,ldt1,s,scr,6,1,120,20,,,,,,,,,,,,,
PB,PBON4,ldt1,s,scr,3.5,1,70,20,,,,,,,,,,,,,
PB,PBON4,ldt2,s,br,7,0.7,140,14,,,,,,,,,,,,,
PB,PBON4,ldt2,s,br,6,0.9,120,18,,,,,,,,,,,,,
